id,title,body_part,gif_url,_norm
a90d7125-44a4-425e-b245-fd2947bf379d,Dumbbell Straight Leg Deadlift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Straight-Leg-Deadlift.gif,dumbbell straight leg deadlift
03f05e68-a642-4a79-8c16-5bc0f39d8322,Lever Side Hip Abduction,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Lever-Side-Hip-Abduction.gif,lever side hip abduction
89682e22-74d1-4a37-8e21-4befb9a97080,Bodyweight Sumo Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2021/02/BODYWEIGHT-SUMO-SQUAT.gif,bodyweight sumo squat
619c2eda-9fe3-4ba3-a789-58fca13c1186,Hawaiian Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Hawaiian-Squat-exercise.gif,hawaiian squat
ad8c7835-90fa-49a3-8ced-18400d2b1d30,Lever Standing Leg Raise,leg,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Standing-Leg-Raise.gif,lever standing leg raise
1ef89ae2-10a0-40dc-9867-c60e8b4f094c,Lever Side Hip Adduction,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lever-Side-Hip-Adduction.gif,lever side hip adduction
6eeb5fb7-6217-40cb-8f1c-f7fddbb749b6,Lever Deadlift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lever-Deadlift.gif,lever deadlift
26c032ef-04a8-441d-9d62-f88743f1c78e,Dumbbell Rear Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Rear-Lunge.gif,dumbbell rear lunge
15471ab3-d77c-4935-b839-19e341c2c0c0,Barbell Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Barbell-Lunge.gif,barbell lunge
3eb59696-2e13-40df-9181-556addf0e6b7,Side Lunge,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Side-Lunge-Stretch.gif,side lunge
f50323f4-bfd7-433e-b92d-1c55c4e2ef02,Zig Zag Hops Plyometric,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Zig-Zag-Hops-Plyometric.gif,zig zag hops plyometric
27e77a78-308d-442e-9981-23b8500684bd,Upavistha Konasana,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Upavistha-Konasana.gif,upavistha konasana
fc23aa89-db1c-4579-8806-752c87bb4c10,Kneeling Quad Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Kneeling-Quad-Stretch.gif,kneeling quad stretch
3e48993e-f83b-402f-aea0-25c09d188936,Reverse Lunge Knee Lift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Reverse-Lunge-Knee.gif,reverse lunge knee lift
d1c2a015-10a4-4086-91fa-0da9a08b8f43,Curtsy Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Curtsey-Squat.gif,curtsy squat
8d7ac388-5fcf-4024-a5fc-16ed6b904b27,Thigh fly (Adductor Magnus Stretch),leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Adductor-Magnus-Stretch.gif,thigh fly
1d7e4783-291d-483b-83fc-6d602e99f16d,Cossack Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cossack-Squat.gif,cossack squat
b2ec6042-b373-4fc6-8586-c5866b354dc7,Seated Side Crunch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Side-Crunches.gif,seated side crunch
fedd1b82-53ce-4e89-9d23-d6e96e4c1888,Standing Cross Leg Hamstring Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Cross-Leg-Hamstring-Stretch.gif,standing cross leg hamstring stretch
e64e36a9-7c46-4f49-99a7-1b181d7e02f1,Backward Jump,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Backward-Jumping.gif,backward jump
dcacbd43-9593-4ea7-a34f-e7b648536892,Bodyweight Windmill,leg,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Windmill.gif,bodyweight windmill
a5411703-e82c-4311-a014-fd1b197b35ff,Landmine Squat to Press,leg,https://fitnessprogramer.com/wp-content/uploads/2021/04/Landmine-Press.gif,landmine squat to press
d1091557-0f57-4db1-a8b4-94f8b28ecc7a,Barbell Clean and Press,leg,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Clean-and-Press-.gif,barbell clean and press
ebb0cda0-b848-4d3e-adaa-763586d8c69e,Dumbbell Lateral Step Up,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Lateral-Step-Up.gif,dumbbell lateral step up
f25eb653-a8a6-41bb-926c-0c4ca7370597,Lateral Step-up,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Lateral-Step-up.gif,lateral step up
03408d55-1076-4571-9b01-d89e76829891,Step Up + Opposite Elbow to Knee Twist,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Step-Up-Opposite-Elbow-to-Knee-Twist.gif,step up opposite elbow to knee twist
bd3c3612-7556-48a2-a292-4a70b9f0bb4a,Plank With Arm And Leg Lift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/04/Plank-with-Arm-and-Leg-Lift.gif,plank with arm and leg lift
dfd5ecb2-8d86-4dc9-8d71-fa0e362efc99,Weighted Front Plank,leg,https://fitnessprogramer.com/wp-content/uploads/2021/04/Weighted-Front-Plank.gif,weighted front plank
972f3ae1-6999-41f2-b641-cf6f7d00d7db,Smith Machine Good Morning,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Good-Morning.gif,smith machine good morning
e8184c36-3b8b-49dc-b23b-ad26c51d3830,High Knee Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2021/11/High-Knee-Squat.gif,high knee squat
89831483-91ba-43d3-9a74-a6eac3478cfe,Kettlebell Split Snatch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Split-Snatch.gif,kettlebell split snatch
69b0e3dc-6a8c-48f8-b21b-35344273d03b,Bodyweight Box Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2022/07/Bodyweight-Box-Squat.gif,bodyweight box squat
b4d5896e-1f11-4de7-a5ab-3339df66f39b,Step Up Single Leg Balance with Bicep Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Step-Up-Single-Leg-Balance-with-Bicep-Curl.gif,step up single leg balance with bicep curl
a2747479-2fe9-4020-b227-9245e98ad9ff,Belt Squat,leg,https://fitnessprogramer.com/wp-content/uploads/2023/01/belt-squat.gif,belt squat
e312a666-db25-4cfa-9ea5-e37aee2e4b4f,Lever Single Leg Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Single-Leg-Curl.gif,lever single leg curl
fc44ed97-003c-4bba-bc15-bf1beeb1c5f9,Single Leg Step Down,leg,https://fitnessprogramer.com/wp-content/uploads/2021/10/Single-Leg-Step-Down.gif,single leg step down
76cd099b-8f9d-4af6-8f49-c8ee3a2108f0,Boat Pose,leg,https://fitnessprogramer.com/wp-content/uploads/2022/01/Boat-Pose-Stretch.gif,boat pose
3bb8de50-d39e-4e90-9070-8f7ccd440591,Long Jump,leg,https://fitnessprogramer.com/wp-content/uploads/2021/03/Long-Jump-Plyometrics.gif,long jump
bc208c7d-ed1b-4da5-88e3-984b65a86c03,Lever Assisted Single Leg Press,leg,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lever-Assisted-Leg-Press.gif,lever assisted single leg press
4025edc5-d412-494a-886a-9cba86621593,Nordic Hamstring Curl,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Nordic-Hamstring-Curl.gif,nordic hamstring curl
a94c1fac-24cb-4d51-8b67-18cd295d620f,One Arm Kettlebell Snatch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/03/One-Arm-Kettlebell-Snatch-exercise.gif,one arm kettlebell snatch
c0f464e8-66af-476c-b10e-8dc1afc9bddc,Front Plank With Arm And Leg Lift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/08/Front-Plank-With-Arm-And-Leg-Lift.gif,front plank with arm and leg lift
27cb280a-64a8-4255-ab46-e825deebf556,Horizontal Leg Press,leg,https://fitnessprogramer.com/wp-content/uploads/2021/08/Lever-Horizontal-Leg-Press.gif,horizontal leg press
600a2758-9879-44ac-88df-8d1f7c97278f,Resistance Band Toe Touch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/08/Resistance-Band-Toe-Touch.gif,resistance band toe touch
0cecbd5b-c9c7-4561-af33-bda0e7c89ec9,Standing Quadriceps Stretch,leg,https://fitnessprogramer.com/wp-content/uploads/2021/08/Standing-Quadriceps-Stretch.gif,standing quadricep stretch
b3a4d44a-8c4f-4743-9ed1-39a4386b9aa3,Leg Curl On Stability Ball,leg,https://fitnessprogramer.com/wp-content/uploads/2021/08/leg-curl-on-stability-ball.gif,leg curl on stability ball
574dda23-8e2c-4543-aec3-8d40bc1360ea,Kettlebell Clean and Jerk,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/Kettlebell-Clean-and-Jerk.gif,kettlebell clean and jerk
8e29e022-7883-4513-bc53-36f27d0c4836,Kettlebell Deadlift,leg,https://fitnessprogramer.com/wp-content/uploads/2021/06/kettlebell-deadlift.gif,kettlebell deadlift
aa7b2e0d-5ef7-4eb5-98e7-f08a4b2caed9,Standing Toe Touches,leg,https://fitnessprogramer.com/wp-content/uploads/2022/04/Standing-Toe-Touches.gif,standing toe touche
